general motors has unveiled the chevrolet-fnr car -lrb- shown -rrb- .   it has ` dragonfly ' swing doors that open upwards and ` crystal laser headlights ' the car was unveiled at the shanghai general motors gala night this week .   chevrolet said the car offered a ` glimpse at mobility of the future .
authorities in el salvador have moved prisoners from two of the country 's hyper-violent gangs into the same prison for the first time , in a bid to stop them running operations from behind bars .   incredible images show handcuffed members from the notorious barrio 18 gang being marched onto buses taking them from izalco jail to san francisco gotera in an effort to curb gang violence .   in a potentially incendiary move , barrio 18 members at the jail will mix with their rivals from the hyper-violent mara salvatrucha gang , or ms-13 .
a concerned mother took a photo of her child 's lunch consisting of a dull looking fish fillet , a whole wheat bun , and corn and then posted it to social media this week .   virginia 's portsmouth public schools say that their lunches are in compliance with michelle obama 's federal lunch rules .   reasoning : virginia 's portsmouth public schools say that their lunches are in compliance with michelle obama 's federal lunch rules .
rome -lrb- cnn -rrb- the italian navy has boarded and retaken control of a fishing boat that had been seized hours earlier by gunmen off the coast of sicily , the italian military said friday .   the boat , named airone , was intercepted some 90 kilometers -lrb- 56 miles -rrb- from the libyan port of misrata , according to a statement from the italian joint forces .   `` they were armed .
a telescopic tube that scans the lungs for cancer is being used by nhs doctors , cutting diagnosis time from days to just 30 minutes .   now doctors at university college london hospitals nhs foundation trust -lrb- uclh -rrb- are able to start vital treatment much sooner using a single procedure .   it even allows them to assess instantly the type and severity of the cancer .
the bbc has made light of disgraced presenter jeremy clarkson 's attack on a junior producer by poking fun at the incident in a comedy programme .   a new episode of mockumentary w1a , to be broadcast later this month , shows bosses holding an emergency meeting after clarkson uses the word ` tosser ' on top gear .   the bbc has made light of jeremy clarkson 's attack on a junior producer by poking fun at it in a comedy show .
the girl in the spider 's web , published worldwide on august 27 , will be the fourth installment in the best-selling millennium crime trilogy by swedish author stieg larsson .   the book was completed in november by david lagercrantz based on a plot outline left by larsson before he died of a heart attack in 2004 aged 50 .   ` it was a little awkward .
they are some of the earliest holiday snaps of the chinese capital -- taken between 1900 and 1911 during the qing dynasty -- and they show landmarks almost devoid of visitors .   the quiet scenes are a far cry from modern-day beijing , which is one of the most populous cities in the world and visited by tens of millions of domestic and international tourists every year .   the origin of the photos is not known .
a man deliberately drove his car straight through the front doors of a police station - and then managed to escape the scene in the damaged vehicle .   the 42-year-old man allegedly threw a wheel spanner at a night security patrol car before recklessly driving his dark blue ford falcon ute at full speed towards the harts range police station just before 10pm on sunday .   a man deliberately drove his dark blue ford falcon ute into the doors of the harts range police station .
doctors have condemned a social media campaign which accuses mothers who have a caesarean as being ` too lazy to have a baby ' .   the image , which is believed to come from a firebrand american religious group called ` the disciples of the new dawn ' in the u.s , has been circulating on mother 's groups in australia .   it 's plain stupid .
the sum is almost five times the prime minister 's # 142,500 pay packet -- and comes as thousands of patients struggle to get on the books of nhs practices .   a further 11 dentists were paid between # 400,000 and # 500,000 and a total of 177 received more than # 200,000 .   more than 1,600 pocketed # 100,000 - # 200,000 .
rare and valuable pieces of meteorite have fallen to earth from a gigantic fireball that lit up the skies over britain and ireland , experts say .   the fireball was captured on camera on sunday by the united kingdom meteor observing network -lrb- ukmon -rrb- in portadown , county armagh .   the fireball was captured on camera on sunday by the united kingdom meteor observing network -lrb- ukmon -rrb- in portadown , county armagh .
nicola sturgeon is most definitely the most dangerous woman in britain .   not because she might well cosy up to ed miliband and keep david cameron out of office , but because she is living proof that women become sexier with age , income and office .   while in 2001 she dressed according to the angela merkel school of leadership -- a boxy , androgynous look from a woman who had lost her waist along with her sanity , topped and tailed with a krankies haircut and orthopaedic shoes -- today she has shed pounds , bleached her hair , squeezed her feet into kurt geiger heels , and for the leaders ' debate last week , rocked a coral two-piece by the aptly named scottish design label totty rocks .
uefa has opened a real can of worms by ordering the final 18 seconds of the european women 's under 19 championship qualifier between england and norway to be replayed following a refereeing error .   england are awarded a penalty during their european u19 women 's championships qualifier in belfast .   referee marija kurtes points to the spot as england are awarded a penalty in the 96th minute .
total cost , according to his favourite website tmz , is $ 25,000 .   floyd mayweather -lrb- left -rrb- vs manny pacquiao in the official advert for their mega-fight on may 2 .   pay-per-view watchers in america will have to pay up to $ 100 -lrb- # 67.48 -rrb- to watch the fight .
the ndrf was set up in the wake of the second world war , and at its peak in the 1950s , the fleet consisted of nearly 2,280 ships moored across the united states .   ghost ships : a number of the remaining ships in the united states ' national defense reserve fleet lay moored in james river , virginia .   helping hand : the united states ' national defense reserve fleet was set up after the second world war in 1945 , in order to provide back-up in case of war or national emergencies .
the macabre theory has been outlined by detectives investigating the killing of david king , a 70-year-old pensioner from newham , east london , who retired to normandy 15 years ago .   his body was found by sniffer dogs last week in the picturesque hamlet of pierres , south-west of caen , and an unnamed 28-year-old frenchman has been charged with his murder .   the alleged killer was living rough in the area , and is thought to have been behind a number of thefts in the area .
stephanie scott , 26 , was due marry her partner of five years , aaron leeson-woolley , in front of 120 guests in a small town in new south wales this saturday .   but the english and drama teacher vanished on sunday while excitedly making final preparations for the wedding .   now police have charged a man with her murder despite not having found her body , leaving her loved ones with the devastating task of continuing the search and making funeral arrangements .
according to the abc , the largest of the stations is anna creek station in south australia which covers an enormous 23,000 square kilometres .   the eleven cattle farms cover over 100,000 square kilometres and are being sold by the family business s. kidman and co. .   the world 's largest cattle station is for sale in anna creek south australia and it 's bigger than israel .
a researcher says a ` bone flute ' found in slovenia is not an instrument - instead , he says it is simply a bone chewed by a hyena with teeth marks .   the bone is shown here , believed to be the oldest musical instrument discovered in europe , on show in ljubljana .   the bone was discovered on 18 july 1995 in slovenia .
