general motors has unveiled the chevrolet-fnr car .   it has ` dragonfly ' swing doors that open upwards and ` crystal laser headlights ' the car was unveiled at the shanghai general motors gala night this week .   chevrolet said the car offered a glimpse at mobility of the future .
the girl in the spider 's web will be the fourth installment in the best-selling millennium crime trilogy by stieg larsson .   the book was completed in november by david lagercrantz based on a plot outline left by larsson before he died of a heart attack in 2004 aged 50 .   mr lagercrantz , known for swedish football star zlatan ibrahimovic 's autobiography , said it is being written on computers with no internet connection to avoid any leaks .
some of the earliest holiday snaps of the chinese capital taken between 1900 and 1911 during the qing dynasty .   they are one of the most populous cities in the world and visited by tens of millions of domestic and international tourists every year .   the origin of the photos is not known .
a 42-year-old man allegedly threw a wheel spanner at a night security patrol car before recklessly driving his car straight through the front doors of a police station .   the station was vacant at the time of the incident before the culprit managed to escape in the smashed-up car .   police are looking for a 42-year-old male who was agitated and driving in a reckless manner .
the image , believed to come from a religious group called ` the disciples of the new dawn ' in the u.s , has been circulating on mother 's groups in australia .   university of sydney 's professor says a drive to reduce the rates of c-sections is forcing obstetricians to ` act against their own better professional judgment '   the number of caesarean surgeries is to drop to 10 to 15 per cent of births .   last year the world health experts said number of surgeries needed to drop .
five highest-earning nhs dentists paid average salaries of # 690,000 a year .   thousands of patients struggle to get on books of nhs practices .   further 11 dentists paid between # 400,000 and a total of 177 received more than # 200,000 .
the fireball was captured on camera on sunday by the united kingdom meteor observing network -lrb- ukmon -rrb- in portadown , county armagh .   footage shows it glowing brightly as it races northwards towards the irish sea .   pieces from the meteorite would have crashed to earth and could potentially be worth thousands of pounds .
nicola sturgeon is the most dangerous woman in britain .   women become sexier with age , income and office .   in 2001 she dressed her feet into kurt geiger heels .
england are awarded a penalty during their european u19 women 's championships qualifier in belfast .   the final 18 seconds of the european women 's under 19 qualifier between england and norway to be replayed .   fifa did similar during a 2006 world cup qualifier .
floyd mayweather has commissioned a mouthguard not only imbedded with his diamond and gold bling but stuffed with $ 100 bills .   his favourite website tmz is $ 25,000 .   manny pacquiao posted a picture of him doing yoga on monday as part of the big fight .
the ndrf was set up in the wake of the second world war , and at its peak in the 1950s , the fleet consisted of nearly 2,280 ships moored across the united states .   but as the need for the fleet , just over 120 ships remain , so has the number of vessels .   the ships are the ` ghost ' national defense reserve fleet , set to protect and serve in the hour of need .
david king , a 70-year-old pensioner from newham , east london , retired to normandy 15 years ago .   his body was found by sniffer dogs last week in pierres and an unnamed 28-year-old frenchman has been charged with his murder .   detectives are investigating the alleged killer was living rough .
stephanie scott , 26 , was due marry her partner of five years , aaron leeson-woolley , in front of 120 guests in new south wales this saturday .   but the english and drama teacher vanished on sunday .   now police have charged a man with her murder despite not having found her body just a week before her big day .
the world 's largest cattle station is for sale in anna creek south australia and it 's bigger than israel .   it covers a huge 23,000 square kilometres and includes original stock and equipment .   all of the farms include the 11 properties currently have 155,000 branded cattle with 30,000 more calves on the way .
` bone flute ' found in slovenia is not an instrument - he says it is simply a bone chewed by a hyena with teeth marks .   the bone was discovered on 18 july 1995 in slovenia .   neanderthals may have been made into symbolic jewellery 80,000 years before modern humans arrived in europe .
